name,island
Kabupaten Bekasi,Jawa
Kabupaten Bogor,Jawa
Kabupaten Ciamis,Jawa
Kabupaten Cianjur,Jawa
Kabupaten Cirebon,Jawa
Kabupaten Garut,Jawa
Kabupaten Indramayu,Jawa
Kabupaten Karawang,Jawa
Kabupaten Kuningan,Jawa
Kabupaten Majalengka,Jawa
Kabupaten Pangandaran,Jawa
Kabupaten Purwakarta,Jawa
Kabupaten Subang,Jawa
Kabupaten Sukabumi,Jawa
Kabupaten Sumedang,Jawa
Kabupaten Tasikmalaya,Jawa
Kota Semarang,Jawa
Kota Surakarta,Jawa
Kota Salatiga,Jawa
Kota Pekalongan,Jawa
Kota Tegal,Jawa
Kabupaten Banjarnegara,Jawa
Kabupaten Banyumas,Jawa
Kabupaten Batang,Jawa
Kabupaten Blora,Jawa
Kabupaten Boyolali,Jawa
Kabupaten Brebes,Jawa
Kabupaten Cilacap,Jawa
Kabupaten Demak,Jawa
Kabupaten Grobogan,Jawa
Kabupaten Jepara,Jawa
Kabupaten Karanganyar,Jawa
Kabupaten Kebumen,Jawa
Kabupaten Kendal,Jawa
Kabupaten Klaten,Jawa
Kabupaten Kudus,Jawa
Kabupaten Magelang,Jawa
Kabupaten Pati,Jawa
Kabupaten Pekalongan,Jawa
Kabupaten Pemalang,Jawa
Kabupaten Purbalingga,Jawa
Kabupaten Purworejo,Jawa
Kabupaten Rembang,Jawa
Kabupaten Semarang,Jawa
Kabupaten Sragen,Jawa
Kabupaten Sukoharjo,Jawa
Kabupaten Tegal,Jawa
Kabupaten Temanggung,Jawa
Kabupaten Wonogiri,Jawa
Kabupaten Wonosobo,Jawa
Kota Magelang,Jawa
Kota Yogyakarta,Jawa
Kabupaten Bantul,Jawa
Kabupaten Gunungkidul,Jawa
Kabupaten Kulon Progo,Jawa
Kabupaten Sleman,Jawa
Kota Surabaya,Jawa
Kota Malang,Jawa
Kota Batu,Jawa
Kota Kediri,Jawa
Kota Blitar,Jawa
Kota Mojokerto,Jawa
Kota Madiun,Jawa
Kota Pasuruan,Jawa
Kota Probolinggo,Jawa
Kabupaten Bangkalan,Jawa
Kabupaten Banyuwangi,Jawa
Kabupaten Blitar,Jawa
Kabupaten Bojonegoro,Jawa
Kabupaten Bondowoso,Jawa
Kabupaten Gresik,Jawa
Kabupaten Jember,Jawa
Kabupaten Jombang,Jawa
Kabupaten Kediri,Jawa
Kabupaten Lamongan,Jawa
Kabupaten Lumajang,Jawa
Kabupaten Madiun,Jawa
Kabupaten Magetan,Jawa
Kabupaten Malang,Jawa
Kabupaten Mojokerto,Jawa
Kabupaten Nganjuk,Jawa
Kabupaten Ngawi,Jawa
Kabupaten Pacitan,Jawa
Kabupaten Pamekasan,Jawa
Kabupaten Pasuruan,Jawa
Kabupaten Ponorogo,Jawa
Kabupaten Probolinggo,Jawa
Kabupaten Sampang,Jawa
Kabupaten Sidoarjo,Jawa
Kabupaten Situbondo,Jawa
Kabupaten Sumenep,Jawa
Kabupaten Trenggalek,Jawa
Kabupaten Tuban,Jawa
Kabupaten Tulungagung,Jawa
Kota Denpasar,Bali
Kabupaten Badung,Bali
Kabupaten Bangli,Bali
Kabupaten Buleleng,Bali
Kabupaten Gianyar,Bali
Kabupaten Jembrana,Bali
Kabupaten Karangasem,Bali
Kabupaten Klungkung,Bali
Kabupaten Tabanan,Bali
Kota Mataram,Nusa Tenggara
Kota Bima,Nusa Tenggara
Kabupaten Lombok Barat,Nusa Tenggara
Kabupaten Lombok Tengah,Nusa Tenggara
Kabupaten Lombok Timur,Nusa Tenggara
Kabupaten Lombok Utara,Nusa Tenggara
Kabupaten Sumbawa,Nusa Tenggara
Kabupaten Sumbawa Barat,Nusa Tenggara
Kabupaten Dompu,Nusa Tenggara
Kabupaten Bima,Nusa Tenggara
Kota Kupang,Nusa Tenggara
Kabupaten Alor,Nusa Tenggara
Kabupaten Belu,Nusa Tenggara
Kabupaten Ende,Nusa Tenggara
Kabupaten Flores Timur,Nusa Tenggara
Kabupaten Kupang,Nusa Tenggara
Kabupaten Lembata,Nusa Tenggara
Kabupaten Malaka,Nusa Tenggara
Kabupaten Manggarai,Nusa Tenggara
Kabupaten Manggarai Barat,Nusa Tenggara
Kabupaten Manggarai Timur,Nusa Tenggara
Kabupaten Nagekeo,Nusa Tenggara
Kabupaten Ngada,Nusa Tenggara
Kabupaten Rote Ndao,Nusa Tenggara
Kabupaten Sabu Raijua,Nusa Tenggara
Kabupaten Sikka,Nusa Tenggara
Kabupaten Sumba Barat,Nusa Tenggara
Kabupaten Sumba Barat Daya,Nusa Tenggara
Kabupaten Sumba Tengah,Nusa Tenggara
Kabupaten Sumba Timur,Nusa Tenggara
Kabupaten Timor Tengah Selatan,Nusa Tenggara
Kabupaten Timor Tengah Utara,Nusa Tenggara
Kota Pontianak,Kalimantan
Kota Singkawang,Kalimantan
Kabupaten Bengkayang,Kalimantan
Kabupaten Kapuas Hulu,Kalimantan
Kabupaten Kayong Utara,Kalimantan
Kabupaten Ketapang,Kalimantan
Kabupaten Kubu Raya,Kalimantan
Kabupaten Landak,Kalimantan
Kabupaten Melawi,Kalimantan
Kabupaten Mempawah,Kalimantan
Kabupaten Sambas,Kalimantan
Kabupaten Sanggau,Kalimantan
Kabupaten Sekadau,Kalimantan
Kota Palangka Raya,Kalimantan
Kabupaten Barito Selatan,Kalimantan
Kabupaten Barito Timur,Kalimantan
Kabupaten Barito Utara,Kalimantan
Kabupaten Gunung Mas,Kalimantan
Kabupaten Kapuas,Kalimantan
Kabupaten Katingan,Kalimantan
Kabupaten Kotawaringin Barat,Kalimantan
Kabupaten Kotawaringin Timur,Kalimantan
Kabupaten Lamandau,Kalimantan
Kabupaten Murung Raya,Kalimantan
Kabupaten Pulang Pisau,Kalimantan
Kabupaten Seruyan,Kalimantan
Kabupaten Sukamara,Kalimantan
Kota Banjarmasin,Kalimantan
Kota Banjarbaru,Kalimantan
Kabupaten Balangan,Kalimantan
Kabupaten Banjar,Kalimantan
Kabupaten Barito Kuala,Kalimantan
Kabupaten Hulu Sungai Selatan,Kalimantan
Kabupaten Hulu Sungai Tengah,Kalimantan
Kabupaten Hulu Sungai Utara,Kalimantan
Kabupaten Kotabaru,Kalimantan
Kabupaten Tabalong,Kalimantan
Kabupaten Tanah Bumbu,Kalimantan
Kabupaten Tanah Laut,Kalimantan
Kabupaten Tapin,Kalimantan
Kota Samarinda,Kalimantan
Kota Balikpapan,Kalimantan
Kota Bontang,Kalimantan
Kabupaten Berau,Kalimantan
Kabupaten Kutai Barat,Kalimantan
Kabupaten Kutai Kartanegara,Kalimantan
Kabupaten Kutai Timur,Kalimantan
Kabupaten Mahakam Ulu,Kalimantan
Kabupaten Paser,Kalimantan
Kabupaten Penajam Paser Utara,Kalimantan
Kota Tarakan,Kalimantan
Kabupaten Bulungan,Kalimantan
Kabupaten Malinau,Kalimantan
Kabupaten Nunukan,Kalimantan
Kabupaten Tana Tidung,Kalimantan
Kota Makassar,Sulawesi
Kota Parepare,Sulawesi
Kota Palopo,Sulawesi
Kabupaten Bantaeng,Sulawesi
Kabupaten Barru,Sulawesi
Kabupaten Bone,Sulawesi
Kabupaten Bulukumba,Sulawesi
Kabupaten Enrekang,Sulawesi
Kabupaten Gowa,Sulawesi
Kabupaten Jeneponto,Sulawesi
Kabupaten Kepulauan Selayar,Sulawesi
Kabupaten Luwu,Sulawesi
Kabupaten Luwu Timur,Sulawesi
Kabupaten Luwu Utara,Sulawesi
Kabupaten Maros,Sulawesi
Kabupaten Pangkajene,Sulawesi
Kabupaten Pinrang,Sulawesi
Kabupaten Sidenreng Rappang,Sulawesi
Kabupaten Sinjai,Sulawesi
Kabupaten Soppeng,Sulawesi
Kabupaten Takalar,Sulawesi
Kabupaten Tana Toraja,Sulawesi
Kabupaten Toraja Utara,Sulawesi
Kabupaten Wajo,Sulawesi
Kota Manado,Sulawesi
Kota Bitung,Sulawesi
Kota Tomohon,Sulawesi
Kota Kotamobagu,Sulawesi
Kabupaten Bolaang Mongondow,Sulawesi
Kabupaten Bolaang Mongondow Selatan,Sulawesi
Kabupaten Bolaang Mongondow Timur,Sulawesi
Kabupaten Bolaang Mongondow Utara,Sulawesi
Kabupaten Kepulauan Sangihe,Sulawesi
Kabupaten Kepulauan Talaud,Sulawesi
Kabupaten Minahasa,Sulawesi
Kabupaten Minahasa Selatan,Sulawesi
Kabupaten Minahasa Tenggara,Sulawesi
Kabupaten Minahasa Utara,Sulawesi
Kabupaten Banggai,Sulawesi
Kabupaten Banggai Kepulauan,Sulawesi
Kabupaten Banggai Laut,Sulawesi
Kabupaten Buol,Sulawesi
Kabupaten Donggala,Sulawesi
Kabupaten Morowali,Sulawesi
Kabupaten Morowali Utara,Sulawesi
Kabupaten Parigi Moutong,Sulawesi
Kabupaten Poso,Sulawesi
Kabupaten Sigi,Sulawesi
Kabupaten Tojo Una-Una,Sulawesi
Kabupaten Tolitoli,Sulawesi
Kota Palu,Sulawesi
Kota Kendari,Sulawesi
Kota Bau-Bau,Sulawesi
Kabupaten Bombana,Sulawesi
Kabupaten Buton,Sulawesi
Kabupaten Buton Selatan,Sulawesi
Kabupaten Buton Tengah,Sulawesi
Kabupaten Buton Utara,Sulawesi
Kabupaten Kolaka,Sulawesi
Kabupaten Kolaka Timur,Sulawesi
Kabupaten Kolaka Utara,Sulawesi
Kabupaten Konawe,Sulawesi
Kabupaten Konawe Kepulauan,Sulawesi
Kabupaten Konawe Selatan,Sulawesi
Kabupaten Konawe Utara,Sulawesi
Kabupaten Muna,Sulawesi
Kabupaten Muna Barat,Sulawesi
Kabupaten Wakatobi,Sulawesi
Kota Gorontalo,Sulawesi
Kabupaten Boalemo,Sulawesi
Kabupaten Bone Bolango,Sulawesi
Kabupaten Gorontalo,Sulawesi
Kabupaten Gorontalo Utara,Sulawesi
Kabupaten Pohuwato,Sulawesi
Kabupaten Majene,Sulawesi
Kabupaten Mamasa,Sulawesi
Kabupaten Mamuju,Sulawesi
Kabupaten Mamuju Tengah,Sulawesi
Kabupaten Pasangkayu,Sulawesi
Kabupaten Polewali Mandar,Sulawesi
Kota Ambon,Maluku
Kota Tual,Maluku
Kabupaten Buru,Maluku
Kabupaten Buru Selatan,Maluku
Kabupaten Kepulauan Aru,Maluku
Kabupaten Maluku Barat Daya,Maluku
Kabupaten Maluku Tengah,Maluku
Kabupaten Maluku Tenggara,Maluku
Kabupaten Kepulauan Tanimbar,Maluku
Kabupaten Seram Bagian Barat,Maluku
Kabupaten Seram Bagian Timur,Maluku
Kota Ternate,Maluku
Kota Tidore Kepulauan,Maluku
Kabupaten Halmahera Barat,Maluku
Kabupaten Halmahera Tengah,Maluku
Kabupaten Halmahera Timur,Maluku
Kabupaten Halmahera Selatan,Maluku
Kabupaten Halmahera Utara,Maluku
Kabupaten Kepulauan Sula,Maluku
Kabupaten Pulau Morotai,Maluku
Kabupaten Pulau Taliabu,Maluku
Kota Jayapura,Papua
Kabupaten Biak Numfor,Papua
Kabupaten Jayapura,Papua
Kabupaten Keerom,Papua
Kabupaten Kepulauan Yapen,Papua
Kabupaten Mamberamo Raya,Papua
Kabupaten Sarmi,Papua
Kabupaten Supiori,Papua
Kabupaten Waropen,Papua
Kota Sorong,Papua
Kabupaten Raja Ampat,Papua
Kabupaten Sorong,Papua
Kabupaten Sorong Selatan,Papua
Kabupaten Tambrauw,Papua
Kabupaten Maybrat,Papua
Kota Manokwari,Papua
Kabupaten Manokwari,Papua
Kabupaten Manokwari Selatan,Papua
Kabupaten Pegunungan Arfak,Papua
Kabupaten Fakfak,Papua
Kabupaten Kaimana,Papua
Kabupaten Teluk Bintuni,Papua
Kabupaten Teluk Wondama,Papua
Kabupaten Merauke,Papua
Kabupaten Boven Digoel,Papua
Kabupaten Mappi,Papua
Kabupaten Asmat,Papua
Kabupaten Mimika,Papua
Kabupaten Deiyai,Papua
Kabupaten Dogiyai,Papua
Kabupaten Intan Jaya,Papua
Kabupaten Nabire,Papua
Kabupaten Paniai,Papua
Kabupaten Puncak,Papua
Kabupaten Puncak Jaya,Papua
Kabupaten Tolikara,Papua
Kabupaten Yahukimo,Papua
Kabupaten Yalimo,Papua
Kabupaten Lanny Jaya,Papua
Kabupaten Nduga,Papua
Kabupaten Mamberamo Tengah,Papua
Kabupaten Pegunungan Bintang,Papua

